Index Keywords,Cited by,EID
Coulomb frictions; Hertz contact model; Hydrodynamic lubrication; Piston-pin; Revolute clearance joints; Slider-crank mechanism; Elastohydrodynamic lubrication; Equations of motion; Friction; Hydrodynamics; Mechanical engineering; Pistons; Computer simulation,15,2-s2.0-84891718933
Asymptotic complexity; Clustering techniques; Comparative evaluations; Data mining algorithm; Different distributions; Distributed clustering; Distributed data mining; K-means; Asymptotic complexity; Clustering techniques; Comparative evaluations; Data mining algorithm; Different distributions; Distributed clustering; Distributed data mining; K-means; Clustering algorithms; Data mining; Algorithms; Data mining; Evolutionary algorithms; Evolutionary algorithms; Clustering algorithms; article; cluster analysis; combinations of distributed clustering algorithm; data mining; data processing; distributed data mining; distributed fast evolutionary algorithm for clustering; evolutionary algorithm; evolutionary k means; priority journal; Article; calculation; cluster analysis; comparative study; controlled study; genotype; mathematical analysis,15,2-s2.0-84888439861
Analysis and simulation; Asymmetric channel; Available channels; Cognitive network; Comprehensive analysis; Periodic channels; Short channels; Algorithms; Cognitive radio; Communication channels (information theory),15,2-s2.0-84900662414
Field programmable gate arrays (FPGA); Two term control systems; Discrete time version; Field-programmable gate array implementations; FPGA implementations; Multi-level cascade inverter; Multilevel converter; Proportional integral; Reference trajectories; Tracking controller; Controllers,15,2-s2.0-84898411379
Disturbance rejection; Linear control systems; Linearization; Active disturbance rejection controls; Differentially flat system; Furuta pendulum; GPI observers; Higher order nonlinearity; Linear active disturbance rejection controls; Sliding mode controller; Trajectory tracking problems; Pendulums,15,2-s2.0-84905121508
Anatomical structures; Brain tissue segmentations; Gaussian Mixture Model; MR brain image segmentation; Multispectral images; Semi-supervised algorithm; Semi-supervised Clustering; Semi-supervised learning; Classification (of information); Clustering algorithms; Diagnosis; Magnetic resonance; Supervised learning; Unsupervised learning; Image segmentation,15,2-s2.0-84888384962
,15,2-s2.0-84897741733
Approximate methods; Asynchronous communication; Communication complexity; Cooperative localization; Covariance intersection; Linear complexity; Multirobots; Communication; Industrial robots; Intelligent robots; Multipurpose robots; Cooperative communication,15,2-s2.0-84893767426
Concept drifts; Graph-based learning; Incremental learning; K-associated graph; Nonstationary; Purity measure; Graphic methods; Learning algorithms,15,2-s2.0-84879784151
Approximate solution; Capacitated vehicle routing problem; Decomposition methods; Integer linear programming models; Optimization models; Optimization solvers; Three-dimensional loadings; Vehicle Routing Problems; Integer programming; Mathematical models; Network routing; Problem solving; Routing algorithms; Three dimensional,15,2-s2.0-84880998647
Chaotic oscillators; Complementary metal oxide semiconductors; Floating gate MOSFET; Floating gate transistors; Hspice simulations; Multi-scroll attractors; Nonlinear functions; Saw-tooth functions; Circuit oscillations; Dynamical systems; Functions; Integrated circuits; Stairs; Design,15,2-s2.0-84880328958
"boron nitride nanotube; functional group; hydroxyl group; thiol; article; chemical interaction; chemical structure; density functional theory; dispersion; energy; geometry; priority journal; semiconductor; solubility; solvation; vacuum; Boron Compounds; Computer Simulation; Electronics; Models, Chemical; Models, Molecular; Molecular Conformation; Nanotubes",15,2-s2.0-84878747511
"cell protein; ESCRT protein; flippase protein; fungal protein; golgi reassembly stacking protein; polysaccharide; unclassified drug; Vps20 protein; vps4 protein; fungal protein; biogenesis; cell function; cell vacuole; enzyme activity; exosome; extracellular space; extracellular vesicle; fungal genetics; fungal structures; nonhuman; protein function; protein localization; protein transport; proteomics; review; sequence analysis; biological model; fungus; metabolism; transport at the cellular level; Biological Transport; Exosomes; Fungal Proteins; Fungi; Models, Biological",15,2-s2.0-84877315291
Biomedical control; Blood glucose regulations; Control design; High-order sliding mode controllers; Identification method; Minimal model; Non linear control; Relative degrees; Blood; Control theory; Glucose; Identification (control systems); Sliding mode control; Uncertain systems; Computer simulation,15,2-s2.0-84875074363
Air supply controls; Control strategies; Experimental results; Lyapunov-based stabilities; Oxygen stoichiometry; PEM fuel cell system; Robust control solutions; Second-order sliding-mode control; Robust control; Sliding mode control; Stoichiometry; Proton exchange membrane fuel cells (PEMFC),15,2-s2.0-84875059653
Bundle block adjustments; China-brazil earth resources satellites; Exterior orientation; Exterior orientation parameters; Ground control points; High resolution camera; Pushbroom; Straight lines; Crystal orientation; Mathematical models; Rock mechanics; Satellites; Sensors; Triangulation; CCD cameras; estimation method; mathematical analysis; numerical model; orientation; remote sensing; resolution; satellite data; satellite imagery; triangulation; Brazil; China,15,2-s2.0-84875770587
Acceptable performance; Classification performance; Classification tasks; Multi-objective evolutionary; Multi-objective genetic algorithm; Problem representation; State-of-the-art approach; Wrappers; Feature extraction; Information systems; Mathematical models; Face recognition,15,2-s2.0-84878287376
Automatic classification; Feature sets; Forest species; Hardwoods ands; Local binary patterns; Microscopic image; Research purpose; Small data set; Content based retrieval; Database systems; Experiments; Hardwoods; Pattern recognition; Softwoods; Statistical tests; Support vector machines; Textures; Forestry; Data Bases; Forestry; Hardwoods; Information Retrieval; Pattern Recognition; Softwoods; Statistical Analysis; Texture,15,2-s2.0-84879687499
Artificial bee colony algorithms; Continuous improvements; Material Flow; Standard time; Vehicle Routing Problems; Automobile manufacture; International trade; Optimization; Materials,15,2-s2.0-84885059422
meropenem; oxacillin; plant gum; silver nanoparticle; vancomycin; animal cell; antibacterial activity; antibiotic sensitivity; article; cashew nut; concentration response; controlled study; cytotoxicity test; drug effect; drug screening; Enterococcus faecalis; Escherichia coli; green chemistry; in vitro study; Klebsiella pneumoniae; light scattering; minimum inhibitory concentration; nanochemistry; nonhuman; particle size; Pseudomonas aeruginosa; Staphylococcus aureus; Staphylococcus epidermidis; transmission electron microscopy; ultraviolet spectroscopy,15,2-s2.0-84875066373
AISI316L; Bulk materials; Chemical compositions; Chromium carbide; Dendritic structures; EDM; Electro discharge machining; Electrochemical test; Energy dispersive microanalysis; Experimental techniques; Intergranular corrosion; Large grain sizes; Metallographic examination; Micro-structural; Polished surfaces; Tensile residual stress; White layer; X-ray diffraction techniques; Austenitic stainless steel; Carbides; Corrosion; Microstructure; Residual stresses; Scanning electron microscopy; Stress corrosion cracking; Surfaces; X ray diffraction; Corrosion resistance,15,2-s2.0-84874309257
Activation functions; Black boxes; Initial conditions; Model reduction; Neural network designs; Non-linear system identification; Proposed architectures; Synaptic weight; Training phase; Wiener-Hammerstein; Architecture; Identification (control systems); Neural networks; Nonlinear systems; Recurrent neural networks; Parameter estimation; accuracy; analytical error; article; artificial neural network; kernel method; mathematical computing; mathematical model; nonlinear system; priority journal; process development; validation process,15,2-s2.0-84868619288
cholesterol; creatinine; fructose; glucose; low density lipoprotein cholesterol; melatonin; triacylglycerol; urea; uric acid; animal experiment; animal model; article; blood pressure regulation; cholesterol blood level; controlled study; creatinine blood level; drug efficacy; drug mechanism; dyslipidemia; glucose tolerance test; hyperglycemia; impaired glucose tolerance; insulin resistance; male; metabolic syndrome X; nonhuman; obesity; rat; systolic blood pressure; triacylglycerol blood level; urea blood level; uric acid blood level; weight change,15,2-s2.0-84875095480
Binarize; Complex methods; Computer techniques; Graphite particles; Industrial materials; Machine learning classification; Malleable cast iron; Material characterizations; Mechanical properties of materials; Metallographic images; Nodular; Optimum-path forests; Otsu's method; Forestry; Graphite; Industry; Malleable iron castings; Mechanical properties; Metallography; Characterization; Castings; Classifiers; Computers; Forestry; Iron; Mechanical Properties,15,2-s2.0-84867677551
Algebraic identification; Coulomb friction coefficient; High frequency measurements; Least Square; operational calculus; Parametrizations; Recursive identification; Recursive least squares algorithms; Differential equations; Identification (control systems); Integral equations; Parameter estimation; Servomechanisms; Algebra,15,2-s2.0-84880573653
Antenna selection; Antenna selection techniques; Energy efficient; Multiple transmit antennas; Outage probability; Power consumption model; Radio frequencies; Spatial diversity; Transmit antenna; Transmit beamforming; Transmit diversity; Transmit diversity systems; Transmit power; Energy efficiency; Outages; Antennas,15,2-s2.0-84873059835
Adaptive Control; Adaptive controllers; Complete control; Control problems; Dynamic compensation; Kinematic model; Manipulator joints; Mobile manipulator; Mobile platform; Motion controller; Path-following problems; Reference velocity; Robot dynamics; Stability and robustness; Trajectory tracking; Adaptive control systems; Lyapunov methods; Motion control; Manipulators,15,2-s2.0-84867528836
Adaptive optics systems; Gemini; Image; Instrument commissioning; Instrumentation; Near Infrared; Buildings; Infrared devices; Instruments; Observatories; Optical design; Adaptive optics,15,2-s2.0-84871775918
Automatic telescopes; California; Data-taking; Gamma ray bursts; High-redshift; Imaging camera; Infra-red cameras; Multiband; Reionization; Satellite position; Computer software; Design; Gamma rays; Infrared detectors; Infrared devices; Integration; Optical telescopes; Stars; Telescopes; Cameras,15,2-s2.0-84871777029
Automatic segmentations; Crime scenes; Feature types; Fingerprint ridges; Frequency features; Ground truth; Latent fingerprint; Law-enforcement agencies; Matching performance; Orientation tensor; Random noise; Region of interest; Ridge frequency; Ridge orientations; Ridge patterns; Segmentation algorithms; Segmentation results; Segmented regions; Symmetric patterns; Biometrics; Crime; Fourier analysis; Image segmentation,15,2-s2.0-84872000216
Angular resolution; Black holes; Compact objects; Current status; Effective area; Energy ranges; Energy resolutions; Field of views; Large area detector; Launch window; Medium size; Mission concepts; Neutron stars; Physical state; Spectral variability; Ultradense; Wide field; Wide field of view; X-ray flux; Xray imaging; Experiments; Gamma rays; Space telescopes; Stars; X ray spectroscopy; Buildings,15,2-s2.0-84871755740
emotions; Opinion mining; Quantitative information; Semantic resources; Sentic Computing; Sentiment analysis; Merging; Ontology; Semantics; Signal processing; Data mining,15,2-s2.0-84876490402
Control Lyapunov function; Hamilton Jacobi Bellman equation; Inverse-optimal control; Neural identification; Optimal controller; passivity; Trajectory tracking; Unknown nonlinear systems; Optimal control systems; Optimization; Recurrent neural networks; Nonlinear systems; artificial neural network; nonlinear system; procedures; robotics; time; Neural Networks (Computer); Nonlinear Dynamics; Robotics; Time Factors,15,2-s2.0-84876942592
,15,2-s2.0-84878105609
Fast algorithms; Functional motifs; Graph algorithms; Multiset; Parameterized algorithm; Randomized Algorithms; Subgraphs; Parameterization; Algorithms,15,2-s2.0-84865320065
Computational experiment; Degree of freedom; Field data; Flowing pressures; Integrated production; Mixed-integer linear programming; Operating condition; Operational conditions; Optimization models; Optimization process; Piecewise linear approximations; Piecewise linear functions; Pressure constraints; Processing capacities; Real-time application; Routing constraints; Vertical lift; Well deliverability; Flowing wells; Oil fields; Piecewise linear techniques; Integration,15,2-s2.0-84864423371
Chaotic encryptions; Low costs; Lyapunov exponent; Pseudorandom generators; Randomness; Statistic analysis; Cellular automata; Chaos theory; Hamming distance; Lyapunov methods; Random processes; Cryptography,15,2-s2.0-84864446455
,15,2-s2.0-84869077969
Element edge; Embedded interface; Finite element formulations; Kinks; Multi-fluid flow; Multi-fluids; Pressure field; Static condensation; Two degrees of freedom; Volume force; Surface tension; Finite element method,15,2-s2.0-84867103607
"Automatic Detection; Automatic segmentations; CAD system; Computer-aided detection; Computerized tomography images; False positive; Growing neural gas; Lung Cancer; Lung nodule; Medical images; Pulmonary parenchyma; Research center; Texture measurement; Tomographic images; Training and testing; Treatment outcomes; Volume of interest; Blood vessels; Diseases; Image processing; Respiratory system; Support vector machines; Tomography; Biological organs; accuracy; algorithm; article; computer assisted tomography; false positive result; growing neural gas; human; image reconstruction; lung nodule; measurement; methodology; priority journal; sensitivity and specificity; support vector machine; Diagnosis, Computer-Assisted; Humans; Lung; Lung Neoplasms; Radiography, Thoracic; Support Vector Machines; Tomography, X-Ray Computed",15,2-s2.0-84867746317
Banking technologies; Branchless banking; Correspondent banking; Developing economies; Information and Communication Technologies; Microfinance; Socio-technical perspective; Structuration Theory; Developing countries; Economic analysis; Information technology; Finance,15,2-s2.0-84867541425
Coupled BEM-FEM; Coupling techniques; Discretizations; Elasto-dynamics; Fluid solid interaction; Fluid-solid coupling; Frequency domains; Ill posed problem; Interaction analysis; Iterative coupling; Iterative procedures; Optimal relaxation parameter; Acoustics; Finite element method; Frequency domain analysis; Optimization; Boundary element method,15,2-s2.0-84863787211
Accessors; Added values; Agricultural information systems; Agricultural process; Data planes; Data usage; Distributed sources; E agricultures; Heterogeneous systems; Implementation approach; Information and Communication Technologies; Latin America; Memory usage; Representational state transfer; REST; RESTful Web services; Rural development; Simple object access protocols; Simugan; Web service technology; Agricultural engineering; Agriculture; Data transfer; Information systems; Internet protocols; Mobile devices; Random access storage; Regional planning; Robots; Rural areas; Smartphones; Soaps (detergents); Websites; Web services; agricultural development; agricultural technology; comparative study; decision making; farming system; performance assessment; rural area; rural development; Latin America,15,2-s2.0-84862649974
algorithm; article; calculation; calibration; computer interface; computer program; correlation coefficient; data processing; maize; moisture; multiple linear regression analysis; near infrared spectroscopy; prediction; priority journal; sample; statistics; successive projections algorithm; validation process; variable selection,15,2-s2.0-84868194589
Classification results; Color and texture features; Color classification; Local binary patterns; Paper currency recognition; Recognition methods; RGB space; Texture recognition; Color; Textures; Feature extraction,15,2-s2.0-84859218608
Chemical process engineering; Computational tools; Decision supports; General model; Hierarchical level; High quality information; Integrated decision; Multiproduct plants; Multipurpose plants; Ontological frameworks; Operational level; Optimization tools; Physical layout; Process scheduling; Scheduling decisions; Scheduling functions; Scheduling optimization; Scheduling problem; Semantic Model; Space scale; Decision making; Decision support systems; Industry; Integration; Ontology; Optimization; Semantics; Scheduling,15,2-s2.0-84861576821
Adaptivity; Disparity estimations; Low Power; MVC; On chip memory; Power managements; Power-gating; Computer aided design; Energy management; Error correction; Image coding; Image quality; Motion estimation; Memory architecture,15,2-s2.0-84863558269
Apparent velocity; Biological objects; Biological structures; Fluorescent images; Hippocampal neurons; Kinetic information; Life-sciences; Maximum displacement; Motion analysis; Optical flow techniques; Optimum parameters; Point sources; Synthetic images; Synthetic video sequences; Temporal image sequences; Temporal sampling; Time-varying image; Vector fields; Confocal microscopy; Medical applications; Motion estimation; Optical flows; Optical microscopy; Fluorescence,15,2-s2.0-84865395360
Artificial neural network models; Domain ontologies; Heterogeneous domains; Knowledge resource; Knowledge sources; Knowledge-source discovery; Natural languages; Ontology matching; Web intelligence; Wordnet; Artificial intelligence; Semantic Web; Software engineering; Neural networks,15,2-s2.0-84859165019
,15,2-s2.0-84869178808
,15,2-s2.0-84857233088
Active control; Current mode; Current-mode converters; Design criterion; Dielectric barrier discharges; Discontinuous conduction mode; Excimer lamps; Lamp models; Power conversion; Power supply; Ultra-violet; Ultraviolet generation; Flow control; Lighting; Ultraviolet radiation; Dielectric devices,15,2-s2.0-80455156376
,15,2-s2.0-84858380012
Diagnosability; Diagnosers; Interpreted Petri nets; Location of fault; On-line fault detection; Permanent and operational faults; Petri net-based fault diagnosis; Polynomial algorithm; Reduced diagnosers; Reduced model; Relative distances; Structural characterization; structural diagnosabilty; Sufficient conditions; Fault tolerant computer systems; Petri nets; Fault detection,15,2-s2.0-84857503286
e-Science; Scientific workflows; Semantic search; Semantic service; Workflow composition; Ontology; Semantic Web; Web services,15,2-s2.0-81355146323
"Breathing cycle; High resolution; Image-guided Intervention; Model prediction; Motion modeling; Motion models; Non-rigid deformation; Non-rigid motion; Nonrigid image registration; Phase encoding; Respiratory gatings; Respiratory phasis; Respiratory signals; Robust image registration; Soft tissue; Spatial resolution; Target registration errors; Target tissues; Under-sampling; Validation methods; Encoding (symbols); Image registration; Liver; Magnetic resonance imaging; Motion estimation; Tissue; Visualization; Three dimensional; article; computer simulation; histology; human; image processing; liver; methodology; nuclear magnetic resonance imaging; reproducibility; respiratory gated imaging; Computer Simulation; Humans; Image Processing, Computer-Assisted; Liver; Magnetic Resonance Imaging; Reproducibility of Results; Respiratory-Gated Imaging Techniques",15,2-s2.0-84857947577
"alpha tocopherol; arachis oil; beta tocopherol; delta tocopherol; gamma tocopherol; linoleic acid; oleic acid; palmitic acid; tocopherol derivative; fatty acid; tocopherol; vegetable oil; article; blanched peanut; controlled study; dose response; food storage; gamma radiation; in shell peanut; lipid composition; lipid oxidation; nutrient content; peanut; peeled peanut; process monitoring; radiation dose; radiation response; room temperature; storage temperature; chemistry; oxidation reduction reaction; peanut; radiation absorption; time; ultraviolet radiation; Arachis hypogaea; Absorption, Radiation; Arachis hypogaea; Fatty Acids; Gamma Rays; Oxidation-Reduction; Plant Oils; Time Factors; Tocopherols; Ultraviolet Rays",15,2-s2.0-84858953610
"dopamine 2 receptor; dopamine receptor affecting agent; tetrahydroisoquinoline derivative; article; binding kinetics; density functional theory; dopaminergic activity; molecular dynamics; molecular model; priority journal; quantum mechanics; Humans; Ligands; Molecular Dynamics Simulation; Quantum Theory; Receptors, Dopamine D2; Structure-Activity Relationship; Tetrahydroisoquinolines",15,2-s2.0-84861228068
"Activity patterns; Behavioral effects; Behavioral recording; Digital videos; Experimental animals; Image attributes; Kinematic measurements; Kinematic variables; Laboratory animals; Locomotor behavior; Object Tracking; Path graphs; Sequence of events; Tracking module; Validation test; Video files; Video-tracking; Animals; Computer graphics; Image processing; Image recording; Image segmentation; Kinematics; Multimedia systems; Target tracking; algorithm; article; behavior change; computer analysis; computer program; environmental impact; orientation; priority journal; videorecording; Animals; Behavior, Animal; Biomechanics; Caffeine; Female; Image Processing, Computer-Assisted; Motor Activity; Rats; Rats, Wistar; Reproducibility of Results; Software; User-Computer Interface; Video Recording; Animalia",15,2-s2.0-84855972982
"3D models; B3LYP/6-31G; Binding pockets; Comparative studies; Computational approach; Conformational study; Gasphase; Molecular dynamics simulations; Molecular flexibility; OH group; Potential energy curves; Potential energy hyper surfaces; Protonated nitrogen; Reduced model; Semi-empirical; Theoretical calculations; Theoretical models; Amino acids; Molecular dynamics; Neurophysiology; Potential energy surfaces; Quantum chemistry; Three dimensional; Conformations; bacteriorhodopsin; dopamine; dopamine 2 receptor; article; chemical phenomena; chemistry; conformation; human; molecular dynamics; quantum theory; thermodynamics; Bacteriorhodopsins; Dopamine; Humans; Hydrophobic and Hydrophilic Interactions; Molecular Conformation; Molecular Dynamics Simulation; Quantum Theory; Receptors, Dopamine D2; Thermodynamics",15,2-s2.0-84858050277
"boron nitride nanotube; graphene; phenol; adsorption; article; calculation; covalent bond; density functional theory; elasticity; energy; ionic strength; molecular interaction; molecular model; molecular stability; priority journal; vibration; Adsorption; Boron Compounds; Electrons; Models, Chemical; Phenol",15,2-s2.0-84856250141
Classical model; Computational costs; Neural models; Non-linear activation; Quantisation; Quantum circuit; Quantum learning; Quantum neural networks; Quantum neuron; Training sets; Weightless neural networks; Learning algorithms; Supervised learning; Neural networks; article; artificial neural network; classification algorithm; decision making; intermethod comparison; learning algorithm; mathematical computing; mathematical model; prediction; priority journal; process development; process optimization; quantum theory; quantum weightless neural network; validation process,15,2-s2.0-82455199211
Computational linguistics; Acoustic features; Amazon mechanical turks; Objective measure; Social behavior; Speaking rate; Computer games,15,2-s2.0-84880004906
"Arabidopsis thaliana; Branching time; Direct approach; Gene regulatory networks; Incomplete networks; Possible futures; Software systems; Usefulness of models; Stem cells; Model checking; Arabidopsis; Arabidopsis thaliana; animal; Arabidopsis; article; biological model; computer program; cytology; gene regulatory network; human; logic; metabolism; Animals; Arabidopsis; Gene Regulatory Networks; Humans; Logic; Models, Genetic; Software",15,2-s2.0-84055213967
Batch plants; Computational performance; Computational results; Constraint programming; Depth first search; Domain knowledge; Industrial environments; Multi-products; Objective functions; Operational policy; Release time; Renewable resource; Scheduling problem; Search strategies; Sequence-dependent; Short-term scheduling; Storage policies; Topology constraint; Computer programming; Constraint theory; Industrial plants; Scheduling; Topology; Scheduling algorithms,15,2-s2.0-80052831360
Bone graft; CBCT; Plane definition; Slice thickness; Windowing; Computerized tomography; Image acquisition; Image reconstruction; Rating; Software testing; Standardization; Bone; bone transplantation; computer program; cone beam computed tomography; graft survival; hospital information system; human; radiography; reproducibility; review; stomatognathic system; Bone Transplantation; Cone-Beam Computed Tomography; Graft Survival; Humans; Radiology Information Systems; Reproducibility of Results; Software; Stomatognathic System,15,2-s2.0-84855590761
"7 hydroxyflavone; acetonitrile; alcohol; binary solvent; cyclohexane; flavone; neat solvent; solvent; unclassified drug; 7-hydroxyflavone; acetonitrile derivative; cyclohexane derivative; flavone; flavone derivative; flavonoid; solvent; absorption; absorption spectroscopy; article; calculation; chemical composition; controlled study; energy; hydrogen bond; molecular interaction; parametric test; simulation; solute; solvation; chemistry; radiation absorption; ultraviolet spectrophotometry; Absorption, Radiation; Acetonitriles; Cyclohexanes; Ethanol; Flavones; Flavonoids; Solvents; Spectrophotometry, Ultraviolet",15,2-s2.0-84055217557
ALOS PALSAR L-band; Impervious surface; LANDSAT TM; RADARSAT-2 C-band; Spectral mixture analysis; Wavelet-merging technique; Image resolution; Merging; Radar; Research; Sensor data fusion; Solar radiation; Spatial distribution; accuracy assessment; albedo; ALOS; Landsat thematic mapper; multispectral image; QuickBird; RADARSAT; rural landscape; satellite data; spatial resolution; spectral analysis; synthetic aperture radar; urban site; wavelength; wavelet analysis; Amazonas [Brazil]; Brazil,15,2-s2.0-80053372879
Control costs; Distillation control; Distillation systems; Economic optimization; QP solvers; Quadratic programs; Real-time optimization; Distillation; Distillation columns; Optimization; Predictive control systems; Model predictive control,15,2-s2.0-80052097232
,15,2-s2.0-80052566125
Boundary elements; Constitutive law; Crack nucleation; Crack problems; Damage mechanics; Damage mechanism; Design/methodology/approach; Discrete components; Discrete method; Discretizations; Elasto-plastic; Elasto-plastic analysis; Elastoplastic materials; Numerical results; Post processing; Research limitations; Static and dynamic; Stress field; Stress intensity; Time-dependent; Cracks; Elastoplasticity; Fracture; Fracture mechanics; Mechanisms; Nucleation; Numerical methods; Stress intensity factors; Trusses; Boundary element method,15,2-s2.0-80052246940
,15,2-s2.0-80051630212
Automatic thresholding; Expectation maximization; Gaussian mixtures; Intelligent image processing; Learning Automata; Computer vision; Convergence of numerical methods; Gaussian distribution; Gradient methods; Graphic methods; Heuristic methods; Learning algorithms; Maximum principle; Optimization; Parameter estimation; Image segmentation,15,2-s2.0-80053929532
Absolute minimum; Coding scheme; Data rate constraints; Data rates; Data-rate; Feedback paths; Mean square stability; Networked control systems; perfect reconstruction; Quantizers; Signal transfer function; Source-coding; Control theory; Linear systems; Signal to noise ratio; Systems analysis; Discrete time control systems,15,2-s2.0-80051483042
Bounded uncertainty; Continuous-time dynamics; Control design; Descriptors; Dynamical model; Extended versions; Implementability; Invariant ellipsoid; Linear feedback control; Lyapunov methodology; Output feedback; Continuous time systems; Nonlinear equations; Nonlinear feedback; Ordinary differential equations; Robust control; Sampled data control systems,15,2-s2.0-80052333635
Amplitude estimation; Autoregulations; Conventional analytical; Distinctive features; First-order filters; Input constraints; Input saturation; Lower bounds; Online computations; Parametrizations; Path tracking; Priori knowledge; Robot model; Robot parameters; Sampling period; Sliding mode; Sliding mode conditioning; Sliding modes; Sufficient conditions; Tracking speed; Trajectory tracking; Multivariable systems; Robotics; Robots,15,2-s2.0-79956146299
Aluminum plates; CHIRP signals; Electromechanical impedance; Frequency domains; Frequency response functions; Impedance measurement; Multi-level wavelet decomposition; New approaches; Piezoceramic wafers; Piezoelectric wafers; Time domain; Frequency response; Monitoring; Piezoelectricity; Structural health monitoring; Wavelet analysis; Wavelet decomposition; Time domain analysis,15,2-s2.0-79953878871
Landmark-based navigation; Localization procedure; Obstacle avoidance; Odometry; Radio frequencies; Robotic navigation system; Robotic wheelchair; Robotic wheelchairs; Robust navigation; Shortest path; Topological map; Inductive sensors; Navigation systems; Radio frequency identification (RFID); Robotics; Robots; Topology; Wheelchairs; Navigation,15,2-s2.0-79955965939
Canopy temperature; Cloudy days; Fuzzy controllers; Gear motors; Greenhouse air; Greenhouse climates; Irrigation cycles; Photovoltaic systems; Pulse-width-modulated inverter; PWM soft start; Shade screen controller; Starting current; Substrate temperature; Tomato cracking; Climate control; Controllers; Fruits; Fuzzy logic; Fuzzy sets; Greenhouses; Irrigation; Photovoltaic effects; Sun; Temperature control; air temperature; dicotyledon; fuzzy mathematics; greenhouse ecosystem; irrigation; photovoltaic system; solar radiation; substrate; Lycopersicon esculentum; Phytolaccaceae,15,2-s2.0-79957750292
Code search; Development tools; Software development; Software reuse; Test-Driven Development; Computer software reusability; Search engines; Software design; Testing; Open systems,15,2-s2.0-79951809291
Algorithm performance; Continuous stirred tank reactor; Control design; Coupled nonlinear equations; Error bound; Error bounds; Identification procedure; Identified parameter; Inverse response; Model parameters; Nonlinear equation system; Second orders; SIMPLE algorithm; System identification; Transient step response; User requirements; Algorithms; Error analysis; Identification (control systems); Speed control; Step response; Tanks (containers); Nonlinear equations; algorithm; article; industry; methodology; nonlinear system; reproducibility; thermodynamics; Algorithms; Industry; Nonlinear Dynamics; Reproducibility of Results; Thermodynamics,15,2-s2.0-79952447553
"Blood clotting; Bone injury; Dental implants; Dental tools; Implant surface; Implantable devices; Mathematical modeling; Matrix displacement; Mechanical factors; Mechano-biology; New mathematical model; Osseointegration; Osteogenic cells; Spatial temporals; Tissue formation; Wound healing process; Bone; Computer simulation; Cytology; Finite element method; Implants (surgical); Spatial distribution; Dental prostheses; fibrin; thrombin; article; blood clotting; bone matrix; bone regeneration; cell migration; finite element analysis; granulation tissue; mathematical model; osteoblast; osteoid; surface property; tooth implantation; Computer Simulation; Dental Implants; Dental Prosthesis Design; Fibrin; Finite Element Analysis; Osseointegration; Stress, Mechanical; Thrombin",15,2-s2.0-79952043927
Adaptive fuzzy; color transformations; Color-blind people; digital image processing; Fuzzy approach; Fuzzy parameter; Histogram equalizations; Image processing technique; linear color systems; Linear transform; Simulation methods; Software tool; Web-based surveys; Color; Color vision; Computer simulation; Eye protection; Fuzzy logic; Graphic methods; Handicapped persons; Image processing; Imaging systems; Information technology; Linear transformations; Mathematical transformations; Color computer graphics,15,2-s2.0-79551524328
"Alternate method; Alternating method; Analytic method; Attenuated Radon transforms; Attenuation maps; Emission data; generalized radon transform; inversion; Inversion algorithm; Iterative reconstruction; Iterative refinement; New approaches; Radon inversion; X ray fluorescence; X-ray fluorescence computed tomography; X-ray fluorescence computed tomography (XFCT); Computerized tomography; Fluorescence; Mathematical transformations; Radon; X rays; Iterative methods; algorithm; article; image processing; image quality; methodology; spectrometry; theoretical model; tomography; Algorithms; Image Processing, Computer-Assisted; Models, Theoretical; Phantoms, Imaging; Spectrometry, X-Ray Emission; Tomography, X-Ray",15,2-s2.0-79551614110
Finite Element; Hp-version; Posteriori error estimates; Spectral approximations; Vibration problem; Adaptive algorithms; Eigenvalues and eigenfunctions; Finite element method; Fluid structure interaction; Fluids; Vibration analysis; Convergence of numerical methods,15,2-s2.0-78649631189
Automatic classification; Bibliographic references; Bibliometrics; Citations; Conference papers; Journal paper; Random sample; Computer science; Information science; Technical presentations; Bibliographic retrieval systems,15,2-s2.0-77958461765
,14,2-s2.0-84959881509
4 (3 dimethylaminopropylamino) 2 (4 methoxystyryl)quinazoline; 4 phenylbutyric acid; amyloid; chaperone; glucose regulated protein 94; heat shock transcription factor 1; intrinsically disordered protein; prealbumin; protein p53; tafamidis; tauroursodeoxycholic acid; allosterism; apoptosis; autophagosome; autophagy; cell compartmentalization; cell cycle regulation; cell differentiation; degenerative disease; endoplasmic reticulum stress; feedback system; ion transport; molecular recognition; protein conformation; protein folding; protein homeostasis; protein structure; Review; RNA processing; ubiquitination; unfolded protein response; X ray diffraction,14,2-s2.0-84938117658
Charging (batteries); Electric batteries; Electric power distribution; Electric power transmission networks; Natural resources; Power control; Power converters; Renewable energy resources; Secondary batteries; Wind turbines; Battery banks; Micro grid; Parallel inverter; Renewable energy source; State of charge; Battery management systems,14,2-s2.0-84929321027
Cost functions; Electric current control; Power electronics; Stators; Torque control; Advanced control strategy; Direct control methods; Electrical drives; Electromagnetic torques; Experimental evaluation; Induction machines; Predictive current control; Predictive torque controls; Insulated gate bipolar transistors (IGBT),14,2-s2.0-84937389404
